GRCODE,GRNAME,AccidentDate,TransactionDate,IncurLoss,CumPaidLoss,EarnedPremNet,PostedReserve97
353,Celina Mut Grp,32634,35190,12637,12626,13501,11598
353,Celina Mut Grp,32832,35754,12635,12627,13501,11598
353,Celina Mut Grp,32928,32928,13223,6123,15642,11598
353,Celina Mut Grp,32913,33278,13045,10564,15642,11598
353,Celina Mut Grp,32944,33674,13666,12290,15642,11598
353,Celina Mut Grp,32992,34088,14407,13579,15642,11598
353,Celina Mut Grp,33168,34629,14448,14063,15642,11598
353,Celina Mut Grp,33157,34983,14516,14412,15642,11598
353,Celina Mut Grp,33215,35406,14499,14488,15642,11598
353,Celina Mut Grp,33111,35668,14491,14497,15642,11598
353,Celina Mut Grp,33478,33478,12254,5464,16128,11598
353,Celina Mut Grp,33562,33927,12001,9537,16128,11598
353,Celina Mut Grp,33524,34255,12345,11481,16128,11598
353,Celina Mut Grp,33514,34610,12892,12335,16128,11598
353,Celina Mut Grp,33465,34926,12890,12699,16128,11598
353,Celina Mut Grp,33282,35108,12752,12721,16128,11598
353,Celina Mut Grp,33460,35652,12717,12725,16128,11598
353,Celina Mut Grp,33701,33701,11882,5113,15357,11598
353,Celina Mut Grp,33891,34257,11582,8527,15357,11598
353,Celina Mut Grp,33685,34416,11815,10344,15357,11598
353,Celina Mut Grp,33656,34752,12043,11381,15357,11598
353,Celina Mut Grp,33797,35258,12146,11742,15357,11598
353,Celina Mut Grp,33921,35748,12187,12036,15357,11598
353,Celina Mut Grp,34291,34291,14906,6540,19310,11598
353,Celina Mut Grp,34003,34368,15174,11810,19310,11598
353,Celina Mut Grp,34258,34988,15981,14533,19310,11598
353,Celina Mut Grp,34225,35320,16062,14998,19310,11598
353,Celina Mut Grp,34069,35530,16172,15890,19310,11598
353,Celina Mut Grp,34375,34375,12532,5781,15952,11598
353,Celina Mut Grp,34515,34880,12481,9519,15952,11598
353,Celina Mut Grp,34561,35291,12530,10929,15952,11598
353,Celina Mut Grp,34442,35538,12387,11356,15952,11598
353,Celina Mut Grp,34755,34755,10639,4356,13714,11598
353,Celina Mut Grp,34977,35342,9879,6779,13714,11598
353,Celina Mut Grp,34864,35595,9947,8199,13714,11598
353,Celina Mut Grp,35332,35332,11804,5250,15746,11598
353,Celina Mut Grp,35193,35559,11612,8967,15746,11598
353,Celina Mut Grp,35669,35669,10455,5743,15715,11598
388,Federal Ins Co Grp,32435,32435,71304,13440,83473,158631
388,Federal Ins Co Grp,32262,32628,73637,35680,83473,158631
388,Federal Ins Co Grp,32233,32964,68437,48703,83473,158631
388,Federal Ins Co Grp,32290,33386,67656,56319,83473,158631
388,Federal Ins Co Grp,32189,33650,65971,61018,83473,158631
388,Federal Ins Co Grp,32326,34153,65617,61119,83473,158631
388,Federal Ins Co Grp,32292,34484,64486,63049,83473,158631
388,Federal Ins Co Grp,32441,34998,64583,63556,83473,158631
388,Federal Ins Co Grp,32303,35225,64529,63744,83473,158631
388,Federal Ins Co Grp,32468,35756,64137,63835,83473,158631
388,Federal Ins Co Grp,32826,32826,74039,18757,91800,158631
388,Federal Ins Co Grp,32572,32937,78485,44166,91800,158631
388,Federal Ins Co Grp,32853,33583,77765,57578,91800,158631
388,Federal Ins Co Grp,32834,33929,77995,66264,91800,158631
388,Federal Ins Co Grp,32526,33987,78006,65600,91800,158631
388,Federal Ins Co Grp,32679,34505,77834,67721,91800,158631
388,Federal Ins Co Grp,32856,35047,77612,75369,91800,158631
388,Federal Ins Co Grp,32599,35155,77761,76713,91800,158631
388,Federal Ins Co Grp,32652,35574,77722,77007,91800,158631
388,Federal Ins Co Grp,33204,33204,82056,19834,95877,158631
388,Federal Ins Co Grp,33125,33490,82905,42225,95877,158631
388,Federal Ins Co Grp,33215,33945,81076,56347,95877,158631
388,Federal Ins Co Grp,32967,34063,81149,63194,95877,158631
388,Federal Ins Co Grp,33004,34465,83357,67112,95877,158631
388,Federal Ins Co Grp,32911,34737,80647,69459,95877,158631
388,Federal Ins Co Grp,32895,35086,80360,74267,95877,158631
388,Federal Ins Co Grp,33127,35684,80070,79208,95877,158631
388,Federal Ins Co Grp,33355,33355,81018,16230,99256,158631
388,Federal Ins Co Grp,33350,33715,74958,38045,99256,158631
388,Federal Ins Co Grp,33276,34007,74799,46055,99256,158631
388,Federal Ins Co Grp,33284,34380,73155,53983,99256,158631
388,Federal Ins Co Grp,33387,34848,73783,60638,99256,158631
388,Federal Ins Co Grp,33296,35122,73688,62917,99256,158631
388,Federal Ins Co Grp,33297,35489,73110,71074,99256,158631
388,Federal Ins Co Grp,33942,33942,74480,14629,96170,158631
388,Federal Ins Co Grp,33682,34048,69925,22427,96170,158631
388,Federal Ins Co Grp,33655,34386,67629,33873,96170,158631
388,Federal Ins Co Grp,33661,34757,64912,43339,96170,158631
388,Federal Ins Co Grp,33939,35400,64438,53168,96170,158631
388,Federal Ins Co Grp,33725,35552,62637,60413,96170,158631
388,Federal Ins Co Grp,34182,34182,101689,24597,139038,158631
388,Federal Ins Co Grp,34155,34520,102892,51373,139038,158631
388,Federal Ins Co Grp,34026,34756,99960,68484,139038,158631
388,Federal Ins Co Grp,34180,35275,98110,80253,139038,158631
388,Federal Ins Co Grp,34155,35616,98160,92192,139038,158631
388,Federal Ins Co Grp,34693,34693,113084,31723,152174,158631
388,Federal Ins Co Grp,34529,34894,109341,59733,152174,158631
388,Federal Ins Co Grp,34379,35109,106442,77398,152174,158631
388,Federal Ins Co Grp,34343,35439,108671,94395,152174,158631
388,Federal Ins Co Grp,34938,34938,125040,37397,167833,158631
388,Federal Ins Co Grp,34747,35112,119146,71133,167833,158631
388,Federal Ins Co Grp,34933,35664,117687,94294,167833,158631
388,Federal Ins Co Grp,35300,35300,132742,53670,180523,158631
388,Federal Ins Co Grp,35421,35787,129744,98628,180523,158631
388,Federal Ins Co Grp,35784,35784,113986,52837,164717,158631
460,Buckeye Ins Grp,32258,32258,231,60,178,3316
460,Buckeye Ins Grp,32452,32818,227,174,178,3316
460,Buckeye Ins Grp,32470,33201,242,214,178,3316
460,Buckeye Ins Grp,32318,33414,271,239,178,3316
460,Buckeye Ins Grp,32168,33629,272,268,178,3316
460,Buckeye Ins Grp,32483,34310,272,268,178,3316
460,Buckeye Ins Grp,32326,34518,271,267,178,3316
460,Buckeye Ins Grp,32176,34733,271,267,178,3316
460,Buckeye Ins Grp,32360,35282,271,267,178,3316
460,Buckeye Ins Grp,32336,35624,271,267,178,3316
460,Buckeye Ins Grp,32851,32851,392,137,481,3316
460,Buckeye Ins Grp,32515,32880,291,255,481,3316
460,Buckeye Ins Grp,32604,33334,388,306,481,3316
460,Buckeye Ins Grp,32824,33919,373,344,481,3316
460,Buckeye Ins Grp,32843,34304,378,371,481,3316
460,Buckeye Ins Grp,32516,34342,386,385,481,3316
460,Buckeye Ins Grp,32691,34882,383,385,481,3316
460,Buckeye Ins Grp,32855,35411,383,385,481,3316
460,Buckeye Ins Grp,32589,35511,383,385,481,3316
460,Buckeye Ins Grp,33144,33144,663,270,681,3316
460,Buckeye Ins Grp,33065,33430,742,446,681,3316
460,Buckeye Ins Grp,33002,33732,731,574,681,3316
460,Buckeye Ins Grp,32885,33981,618,656,681,3316
460,Buckeye Ins Grp,33101,34562,684,683,681,3316
460,Buckeye Ins Grp,33028,34854,683,682,681,3316
460,Buckeye Ins Grp,33122,35313,682,681,681,3316
460,Buckeye Ins Grp,33211,35768,682,681,681,3316
460,Buckeye Ins Grp,33527,33527,827,376,1348,3316
460,Buckeye Ins Grp,33543,33908,931,549,1348,3316
460,Buckeye Ins Grp,33404,34135,1004,684,1348,3316
460,Buckeye Ins Grp,33392,34488,794,740,1348,3316
460,Buckeye Ins Grp,33300,34761,813,791,1348,3316
460,Buckeye Ins Grp,33591,35417,803,797,1348,3316
460,Buckeye Ins Grp,33427,35619,793,791,1348,3316
460,Buckeye Ins Grp,33650,33650,1181,309,2066,3316
460,Buckeye Ins Grp,33614,33980,1027,447,2066,3316
460,Buckeye Ins Grp,33845,34576,809,664,2066,3316
460,Buckeye Ins Grp,33939,35035,680,680,2066,3316
460,Buckeye Ins Grp,33753,35214,680,680,2066,3316
460,Buckeye Ins Grp,33730,35557,675,675,2066,3316
460,Buckeye Ins Grp,34282,34282,1466,432,2279,3316
460,Buckeye Ins Grp,34149,34514,1343,571,2279,3316
460,Buckeye Ins Grp,34292,35022,1320,919,2279,3316
460,Buckeye Ins Grp,34290,35385,1082,1041,2279,3316
460,Buckeye Ins Grp,34315,35776,1075,1061,2279,3316
460,Buckeye Ins Grp,34597,34597,1450,388,2089,3316
460,Buckeye Ins Grp,34671,35036,1194,559,2089,3316
460,Buckeye Ins Grp,34337,35067,1382,875,2089,3316
460,Buckeye Ins Grp,34561,35657,1111,1011,2089,3316
460,Buckeye Ins Grp,34707,34707,2073,757,2917,3316
460,Buckeye Ins Grp,34996,35361,2072,1299,2917,3316
460,Buckeye Ins Grp,34857,35588,1901,1608,2917,3316
460,Buckeye Ins Grp,35085,35085,1937,610,3466,3316
460,Buckeye Ins Grp,35080,35446,1971,1024,3466,3316
460,Buckeye Ins Grp,35566,35566,2510,674,3407,3316
